ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,ma5,ma20,ma60,ma20_up,ma5_flat,ret,hv20,hv60,vol_expansion,vol_ma20,vol_shrink,vol_surge,obv,obv_ma20,price_new_low,obv_not_new_low,obv_divergence,rzye,rzye_chg,rzye_ma5,north_net,north_ma5,north_sum5,score,signal
000001.SH,2025-05-07,3342.6651,3354.9737,3356.6884,3324.8088,3316.1135,26.5516,0.8006842950339266,511159606.0,595230089.1,3302.5759,3262.35596,3328.095328333334,False,True,0.008006842950339266,0.2883282796105503,0.1864651736243634,True,466667326.55,False,False,9499558745.0,8780695872.85,False,True,False,1797293406671.0,0.0040332345506590705,0.0006647427279591334,18.940516,15.7737268,78.868634,54.0,低吸
000001.SH,2025-05-08,3351.9958,3331.2052,3359.7309,3327.9024,3342.6651,9.3307,0.27913954048224277,428377766.0,501611375.5,3315.2921199999996,3275.12694,3328.900815,True,False,0.0027913954048224277,0.08661211858577653,0.18544744385238027,False,454976235.65,False,False,9927936511.0,8993978661.8,False,True,False,1797145281441.0,-8.24157199098563e-05,0.0005138127845071728,14.388341,15.8869618,79.434809,79.0,反弹
000001.SH,2025-05-09,3341.9989,3350.405,3351.2198,3335.127,3351.9958,-9.9969,-0.29823724719464373,398909191.0,464862361.5,3326.36094,3284.9494299999997,3329.2313,True,False,-0.0029823724719464373,0.07781317787159585,0.1852359439609199,False,441809575.85,False,False,9529027320.0,9154203871.85,False,True,False,1792445700101.0,-0.002615025834879492,0.00014147332515164203,13.413617000000002,15.8442154,79.221077,75.0,反弹
000001.SH,2025-05-12,3369.2445,3352.9698,3372.4724,3344.2687,3341.9989,27.2456,0.8152486226132405,418239910.0,522080702.4,3344.40356,3294.0711599999995,3330.0844266666663,True,False,0.008152486226132405,0.07098586199212502,0.18592981689175958,False,428481712.65,False,False,9947267230.0,9301101218.7,False,True,False,1797059779514.0,0.002574180859559627,0.002401771952199061,14.950435999999998,15.8208022,79.104011,79.0,反弹
000001.SH,2025-05-13,3374.8707,3386.2344,3386.2344,3370.2516,3369.2445,5.6262,0.16698699070369916,426240700.0,506608943.8,3356.155,3301.6328000000003,3330.559181666666,True,False,0.0016698699070369916,0.06303423675775786,0.18516526953211188,False,420233334.0,False,False,10373507930.0,9439750186.9,False,True,False,1798403713459.0,0.000747851551918588,0.0009315650814695875,14.942584,15.327098800000002,76.63549400000001,79.0,反弹
000001.SH,2025-05-14,3403.9481,3374.2353,3417.3142,3368.0781,3374.8707,29.0774,0.8615856008942879,464934441.0,534872944.6,3368.4116000000004,3309.9188649999996,3331.750273333333,True,False,0.00861585600894288,0.06652315265053609,0.1857281561216742,False,419703465.85,False,False,10838442371.0,9577869286.95,False,True,False,1799550567692.0,0.0006377067754126386,0.00025245952642030114,15.964917000000002,14.731979,73.659895,75.0,反弹
000001.SH,2025-05-15,3380.8214,3398.4272,3402.8656,3378.0208,3403.9481,-23.1267,-0.6794081261109808,424100916.0,461292249.4,3374.1767200000004,3315.81956,3332.31856,True,False,-0.006794081261109808,0.07136308592410945,0.18613274564228457,False,417339850.65,False,False,10414341455.0,9671214680.2,False,True,False,1796739397590.0,-0.0015621512129028181,-4.3487572178291244e-05,13.771937,14.608698200000001,73.043491,75.0,反弹
000001.SH,2025-05-16,3367.4619,3374.7061,3380.29,3356.6609,3380.8214,-13.3595,-0.3951554495011167,395401030.0,435647042.7,3379.2693199999994,3320.8095399999997,3332.512431666667,True,False,-0.003951554495011167,0.07422095301340294,0.1862549893792452,False,417276757.4,False,False,10018940425.0,9724956877.2,False,True,False,1794856670873.0,-0.0010478574241347127,0.0002699461099706646,13.379182,14.6018112,73.009056,75.0,反弹
000001.SH,2025-05-19,3367.5829,3365.8823,3373.5994,3356.6483,3367.4619,0.121,0.0035932106611236136,403074805.0,437177569.2,3378.9370000000004,3325.3884900000003,3333.2306366666667,True,True,3.5932106611236136e-05,0.07429217591486936,0.18520786935028752,False,415953754.95,False,False,10422015230.0,9777376071.75,False,True,False,1798453908970.0,0.0020041923989675414,0.00015594841785224745,12.25173,14.06207,70.31035,75.0,反弹
000001.SH,2025-05-20,3380.478,3371.6886,3387.804,3369.9629,3367.5829,12.8951,0.38291856155938664,405544534.0,450290477.2,3380.05846,3330.3953300000003,3333.7129499999996,True,True,0.0038291856155938664,0.07479322942450703,0.1846373895446007,False,417130346.75,False,False,10827559764.0,9830971858.1,False,True,False,1800743189406.0,0.0012729158220747827,0.0002609612718834864,12.962961,13.6661454,68.330727,75.0,反弹
